name,floor,seating
101,1,40
102,1,40
103,1,40
104,1,40
105,1,40
106,1,40
107,1,40
108,1,40
109,1,40
110,1,40
111,1,40
112,1,40
113,1,40
114,1,40
115,1,40
116,1,40
117,1,40
118,1,40
119,1,40
120,1,40
121,1,40
122,1,40
123,1,40
201,2,40
202,2,40
203,2,40
204,2,40
205,2,40
206,2,40
207,2,40
208,2,40
209,2,40
210,2,40
211,2,40
212,2,40
213,2,40
214,2,40
215,2,40
216,2,40
217,2,40
218,2,40
219,2,40
220,2,40
221,2,40
222,2,40
223,2,40
301,3,40
302,3,40
303,3,40
304,3,40
305,3,40
306,3,40
307,3,40
308,3,40
309,3,40
310,3,40
311,3,40
312,3,40
313,3,40
314,3,40
315,3,40
316,3,40
317,3,40
318,3,40
319,3,40
320,3,40
321,3,40
